Category	Term	Count	PValue	Genes	Fold_Enrichment	Benjamini	Cluster 
GOTERM_CC_DIRECT	GO:0005829~cytosol	141	6.96E-09	"ALDH8A1, NCBP2, ALDH1L1, CHMP5, FOXO3, ACSS2, AMOTL2, GLDC, TPK1, GSTM2, AQP11, MAT1A, SULT1A1, ASPG, AKR7A3, SULT1A2, DERA, FAS, SAR1B, GSTT2B, NUDT4, GSTT1, VTI1B, CDO1, TAT, DDIT4, DEPDC5, PNPLA5, ARPC1A, ARPC1B, PCCB, PCCA, MDH1, ARL6IP1, HSD17B11, RBP4, MCL1, GGCT, ASS1, ALDOB, PFKFB1, HMGCS1, KMO, PAH, SPC24, PPP1R3C, KRAS, HNMT, ASRGL1, GYS2, IDH1, FBXO4, FBXO3, GNMT, FH, ACY1, SPHK2, HTT, UPB1, ACACA, ACMSD, HGD, LGALS8, TKT, ACACB, CRYZ, LHPP, TAX1BP1, CIDEC, NMT2, RPE, GBE1, BAAT, IKBKG, FABP7, RIDA, IKBKB, IDI1, KYNU, ECHDC1, TTPA, PINK1, PHF20, PEX3, PTEN, MKLN1, MSRA, CRYL1, TKFC, DYNLL2, PDE8B, CAT, DHTKD1, THRSP, IP6K3, HPD, DDC, ACO1, PFKM, MID1IP1, ATP6V1A, ALDH7A1, CTH, G6PD, SIKE1, CLIC4, PKLR, CA2, UGP2, SRGAP2, SORD, LIMS2, ABHD5, COMT, GCH1, TSC22D3, CEP57, HAAO, FASN, PLCD3, KYAT1, RAB11A, ETNK2, LYPLAL1, PRKAA2, PAPSS2, GAPDH, SHMT1, NGEF, WDFY1, IDO2, NADK, ACLY, TPMT, MSRB2, SLBP, IRF6, ATP6V1E1, GPT, AACS, TP53INP2"	1.58	3.71E-07	Winter_low
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	123	2.04E-08	"ALDH8A1, TSPAN1, ALDH1L1, CHMP5, HBS1L, GGT1, FSTL1, GSTM2, TTR, APOE, AKR7A3, DERA, FAS, CFD, GSTT2B, HLA-A, GSTT1, METTL7A, ARPC1A, ARPC1B, NPC1, CDKL1, NPC2, VAMP7, ABAT, MDH1, RBP4, ACADSB, GGCT, ASS1, ALDOB, KMO, PAH, LMAN1, GALM, HNMT, PPL, SERINC1, APOC3, IDH1, FH, GPR155, ACY1, UPB1, MAOB, SLC6A13, ACACA, ACMSD, HGD, LGALS8, ATAD2, TKT, CRYZ, TAX1BP1, TNFSF10, RPE, LAMP2, GBE1, HEBP1, PON1, RIDA, SLC46A3, CPB2, DCXR, PZP, ECHDC1, SLC1A5, CRYL1, MSRA, TKFC, CAT, NT5E, HPD, HYAL1, DDC, ACO1, DECR1, PFKM, RBBP9, ATP6V1A, ALDH7A1, SDC1, CTH, G6PD, CLIC4, PKLR, ZNF711, CA2, UGP2, ALPL, C9, SORD, C6, COMT, OAF, ITM2A, PBLD, MIF, NHLRC3, TMEM33, COL6A3, FASN, HAAO, TGM3, RAB11A, LYPLAL1, SLC39A5, SNAP23, ACSL4, GAPDH, RAB2B, SHMT1, RNASE4, ACLY, ISOC1, TPMT, TRIM23, DBI, AFM, IRF6, ATP6V1E1, GPT, SCP2"	1.63	9.32E-07	Winter_low
GOTERM_BP_DIRECT	GO:0006695~cholesterol biosynthetic process	12	4.37E-09	"TM7SF2, EBP, MSMO1, G6PD, HMGCR, INSIG1, HMGCS1, ACLY, LSS, PRKAA2, IDI1, HSD17B7"	11.28	4.87E-06	Winter_low
GOTERM_CC_DIRECT	GO:0005782~peroxisomal matrix	11	3.02E-07	"HAO1, HACL1, BAAT, AMACR, NUDT7, IDH1, CAT, SCP2, AGXT, PHYH, PIPOX"	8.89	1.21E-05	Winter_low
GOTERM_BP_DIRECT	GO:0008203~cholesterol metabolic process	14	4.13E-08	"EBP, TNFSF4, FDX1, SCAP, CYP7B1, NPC1, NPC2, APOE, INSIG1, PON1, PCSK9, CAT, ANGPTL3, LIPC"	7.36	3.06E-05	Winter_low
GOTERM_MF_DIRECT	GO:0009055~electron carrier activity	15	1.81E-07	"GCDH, ACADSB, FDX1, MAOB, CYP1A2, GLDC, IVD, HAAO, DMGDH, AKR7A3, ALDH4A1, SRD5A1, ACAD8, ASPH, ACAD11"	5.97	5.18E-05	Winter_low
GOTERM_CC_DIRECT	GO:0031090~organelle membrane	13	3.48E-06	"TM7SF2, CYP1A1, CYP2C18, CYP2C9, CYP1A2, CYP3A43, FMO5, CYP7B1, SPCS3, CYP2A7, SRD5A1, SRD5A2, CYP8B1"	5.56	1.24E-04	Winter_low
GOTERM_CC_DIRECT	GO:0005811~lipid particle	11	9.68E-06	"HSD17B11, DGAT2, ABHD5, LSS, ACSL4, SIGMAR1, METTL7A, PNPLA3, GAPDH, PNPLA5, CIDEC"	6.20	3.10E-04	Winter_low
GOTERM_BP_DIRECT	GO:0006631~fatty acid metabolic process	11	1.45E-06	"SGPL1, CRYL1, ACADSB, BAAT, MSMO1, ABHD5, FASN, AACS, ANGPTL3, GPAM, ACSF2"	7.56	5.38E-04	Winter_low
GOTERM_BP_DIRECT	GO:0006569~tryptophan catabolic process	6	1.91E-06	"KYNU, ACMSD, HAAO, IDO2, KYAT1, KMO"	23.82	6.08E-04	Winter_low
GOTERM_BP_DIRECT	GO:0042632~cholesterol homeostasis	12	1.40E-06	"G6PC, NPC1, NPC2, DGAT2, APOE, APOC3, SLC37A4, LIPG, PCSK9, ANGPTL3, LIPC, MTTP"	6.70	6.25E-04	Winter_low
GOTERM_BP_DIRECT	GO:0006520~cellular amino acid metabolic process	10	1.21E-06	"GLS2, DDC, ACY1, SDS, SLC7A2, ASPG, SRR, GGT1, TAT, SLC25A15"	8.93	6.75E-04	Winter_low
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	17	5.83E-06	"SC5D, MSMO1, CYP1A1, CYP2C9, CYP2C18, FDX1, ETHE1, SCD, PAH, CYP1A2, CYP4V2, CYP3A43, CYP7B1, HAAO, CYP2A7, AGMO, CYP8B1"	3.98	8.34E-04	Winter_low
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	11	4.01E-06	"CYP3A43, CYP7B1, CYP1A1, CYP2C9, CYP2C18, AGMO, CYP2A7, PAH, CYP4V2, CYP1A2, CYP8B1"	6.80	8.59E-04	Winter_low
GOTERM_MF_DIRECT	GO:0003824~catalytic activity	19	5.43E-06	"ALDH1L1, ACCS, AMACR, ECHDC1, ECHDC2, TKT, ECHDC3, ISOC1, ACSS2, ACSF2, PBLD, FASN, KYAT1, TGM3, ACSL4, PCYT2, FAHD2A, PMPCB, FH"	3.62	9.31E-04	Winter_low
GOTERM_BP_DIRECT	GO:0006641~triglyceride metabolic process	9	4.23E-06	"G6PC, APOE, APOC3, INSIG1, SLC37A4, PCSK9, CAT, ACSL4, MTTP"	9.19	1.18E-03	Winter_low
GOTERM_BP_DIRECT	GO:0008152~metabolic process	18	4.89E-06	"AQP9, ACO1, ECHDC1, ECHDC2, TKT, ECHDC3, ISOC1, ACSS2, ACSF2, GSTM2, DBT, INSIG1, FASN, UGT8, ACSL4, SCP2, FAHD2A, UGP2"	3.83	1.21E-03	Winter_low
GOTERM_BP_DIRECT	GO:0051289~protein homotetramerization	11	5.66E-06	"SHMT1, CTH, MAT1A, ACACA, SRR, CAT, DECR1, GNMT, ACACB, CRYZ, DCXR"	6.55	1.26E-03	Winter_low
GOTERM_BP_DIRECT	GO:0006559~L-phenylalanine catabolic process	6	6.69E-06	"ASRGL1, KYAT1, HGD, PAH, TAT, HPD"	19.49	1.35E-03	Winter_low
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	17	8.46E-06	"SC5D, LCN12, ABHD5, TTPA, HMGCS1, ACLY, MID1IP1, TECR, MTTP, G6PD, LIPG, PLCD3, ACAD8, ACSL4, AACS, LIPC, THRSP"	3.87	1.57E-03	Winter_low
GOTERM_BP_DIRECT	GO:0055088~lipid homeostasis	9	1.00E-05	"GCDH, ACADSB, IVD, ACACA, ACAD8, ACAD11, ANGPTL3, PNPLA3, PNPLA5"	8.24	1.72E-03	Winter_low
GOTERM_MF_DIRECT	GO:0000062~fatty-acyl-CoA binding	8	1.45E-05	"GCDH, ACADSB, IVD, ACAD8, ACAD11, DBI, SCP2, ACBD4"	9.56	1.77E-03	Winter_low
GOTERM_BP_DIRECT	GO:0006554~lysine catabolic process	6	1.12E-05	"SLC25A21, GCDH, ALDH7A1, HYKK, AASS, PIPOX"	17.86	1.78E-03	Winter_low
GOTERM_BP_DIRECT	GO:0006633~fatty acid biosynthetic process	10	1.21E-05	"SC5D, MSMO1, ACACA, FASN, ACLY, AGMO, PRKAA2, ACACB, LIPC, PCCB"	6.87	1.80E-03	Winter_low
GOTERM_BP_DIRECT	GO:0009058~biosynthetic process	8	1.48E-05	"ALDH1L1, ACCS, FASN, KYAT1, PCYT2, TAT, MTFMT, PBLD"	9.53	2.06E-03	Winter_low
GOTERM_BP_DIRECT	GO:0035338~long-chain fatty-acyl-CoA biosynthetic process	9	1.79E-05	"SCD, ACACA, FASN, ACLY, ELOVL6, ACSL4, TECR, ACSF2, ACSL5"	7.66	2.34E-03	Winter_low
GOTERM_MF_DIRECT	GO:0016597~amino acid binding	7	2.30E-05	"DDC, SHMT1, ASS1, OTC, PAH, TAT, AGXT"	11.40	2.47E-03	Winter_low
GOTERM_CC_DIRECT	GO:0030176~integral component of endoplasmic reticulum membrane	12	1.09E-04	"TM7SF2, ARL6IP1, SGPL1, G6PC, DGAT2, TMEM33, SARAF, SLC37A4, ELOVL6, ASPH, TECR, ESYT1"	4.29	3.18E-03	Winter_low
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	41	3.70E-05	"KYNU, MCL1, GGCT, HMGCR, ACCS, HMGCS1, AGXT, GCH1, GSTM2, CRYL1, CEP57, BOK, APOE, SRR, FASN, ABCB10, KYAT1, IDH1, GYS2, FBXO4, CAT, THRSP, SHMT1, MSH3, MAOB, TKT, IL6R, PFKM, LHPP, HOMER2, RPE, G6PD, DGAT2, SDS, IKBKG, PON1, ABAT, RIDA, IKBKB, MGST1, SRGAP2"	2.01	3.52E-03	Winter_low
GOTERM_CC_DIRECT	GO:0005741~mitochondrial outer membrane	14	1.93E-04	"MAVS, MCL1, ASS1, BOK, MAOA, RMDN3, MAOB, PINK1, KMO, ACACB, ACSL4, GPAM, MGST1, ACSL5"	3.49	5.14E-03	Winter_low
GOTERM_BP_DIRECT	GO:0042493~response to drug	23	4.75E-05	"SORD, FECH, ASS1, CYP1A1, OTC, MAOB, HMGCS1, COMT, ACACB, CPS1, PTEN, NPC1, SLC1A2, SRR, ADRA1A, ABAT, SRD5A1, CAT, SRD5A2, AACS, CPB2, MGST1, ABCC6"	2.70	5.86E-03	Winter_low
GOTERM_BP_DIRECT	GO:0019433~triglyceride catabolic process	7	5.18E-05	"APOE, APOC3, FABP7, CPS1, LIPC, PNPLA3, PNPLA5"	10.00	6.06E-03	Winter_low
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	11	6.03E-05	"ACY1, NR1I2, CYP2C9, CYP2C18, SULT1A1, AKR7A3, SULT1A2, GGT1, CYP1A2, MGST1, AHR"	5.04	6.70E-03	Winter_low
GOTERM_MF_DIRECT	"GO:0016627~oxidoreductase activity, acting on the CH-CH group of donors"	6	1.04E-04	"TM7SF2, GCDH, IVD, ACAD8, ACAD11, TECR"	11.95	8.88E-03	Winter_low
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	7	1.26E-04	"MDH1B, IDH3G, ACO1, IDH1, DHTKD1, MDH1, FH"	8.62	1.33E-02	Winter_low
GOTERM_BP_DIRECT	GO:0005977~glycogen metabolic process	7	1.26E-04	"G6PC, PPP1R3C, GBE1, PPP1R3B, SLC37A4, GNMT, UGP2"	8.62	1.33E-02	Winter_low
GOTERM_BP_DIRECT	GO:0006749~glutathione metabolic process	9	1.53E-04	"GSTM2, GSTT2B, G6PD, CLIC4, ETHE1, GSTT1, IDH1, GGT1, MGST1"	5.74	1.53E-02	Winter_low
GOTERM_BP_DIRECT	GO:0008202~steroid metabolic process	8	1.71E-04	"G6PC, MSMO1, NR1I2, CYP1A1, CYP2C9, SULT1A1, SLC37A4, SULT1A2"	6.65	1.57E-02	Winter_low
GOTERM_BP_DIRECT	GO:0006071~glycerol metabolic process	5	1.70E-04	"MOGAT3, MOGAT2, DGAT2, TKFC, ANGPTL3"	16.24	1.63E-02	Winter_low
GOTERM_BP_DIRECT	GO:0007584~response to nutrient	10	2.12E-04	"ASS1, HMGCR, PKLR, SLC37A4, LIPG, TTPA, ENSA, ACSL4, AACS, PTEN"	4.83	1.73E-02	Winter_low
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	8	1.99E-04	"RBP4, G6PC, SDS, SLC25A10, PFKFB1, ALDOB, GAPDH, MDH1"	6.50	1.75E-02	Winter_low
GOTERM_BP_DIRECT	GO:0031325~positive regulation of cellular metabolic process	4	2.08E-04	"ACACA, FASN, ACLY, ACACB"	28.58	1.76E-02	Winter_low
GOTERM_BP_DIRECT	GO:0006699~bile acid biosynthetic process	6	2.34E-04	"CYP7B1, BAAT, HSD3B7, AMACR, CYP8B1, SCP2"	10.21	1.84E-02	Winter_low
GOTERM_MF_DIRECT	GO:0015171~amino acid transmembrane transporter activity	8	2.97E-04	"SLC1A5, SLC38A4, SLC1A2, SLC38A9, SLC16A10, SLC7A2, SLC6A12, PEX3"	6.10	2.29E-02	Winter_low
GOTERM_MF_DIRECT	GO:0050660~flavin adenine dinucleotide binding	9	3.84E-04	"GCDH, CHDH, FMO5, ACADSB, IVD, MAOB, KMO, ACAD8, ACAD11"	5.04	2.32E-02	Winter_low
GOTERM_MF_DIRECT	GO:0050661~NADP binding	7	3.69E-04	"TM7SF2, FMO5, G6PD, HMGCR, IDH1, CAT, GAPDH"	7.17	2.40E-02	Winter_low
GOTERM_MF_DIRECT	GO:0008483~transaminase activity	5	3.47E-04	"ETNPPL, ABAT, KYAT1, OAT, AGXT"	13.78	2.45E-02	Winter_low
GOTERM_MF_DIRECT	GO:0020037~heme binding	13	4.51E-04	"SUOX, CYP1A1, CYP2C18, CYP2C9, IDO2, CYP1A2, CYP4V2, CYP3A43, CYP7B1, HEBP1, CYP2A7, CAT, CYP8B1"	3.40	2.55E-02	Winter_low
GOTERM_BP_DIRECT	GO:0055089~fatty acid homeostasis	5	3.51E-04	"DGAT2, APOE, PRKAA2, GPAM, NR1H4"	13.74	2.66E-02	Winter_low
GOTERM_BP_DIRECT	GO:0042866~pyruvate biosynthetic process	4	4.07E-04	"SDS, PKLR, SRR, AGXT"	23.82	2.98E-02	Winter_low
GOTERM_BP_DIRECT	GO:0010043~response to zinc ion	7	4.39E-04	"ASS1, SLC30A1, OTC, HAAO, CA2, CPS1, PTEN"	6.95	3.01E-02	Winter_low
GOTERM_BP_DIRECT	GO:0051384~response to glucocorticoid	9	4.36E-04	"ALPL, SDC1, KRAS, HNMT, PFKFB1, FAS, CDO1, TAT, AGXT"	4.95	3.08E-02	Winter_low
GOTERM_MF_DIRECT	GO:0070402~NADPH binding	5	6.34E-04	"HMGCR, FASN, SRD5A1, DECR1, CRYZ"	11.95	3.35E-02	Winter_low
GOTERM_MF_DIRECT	"GO:0052890~oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor"	5	6.34E-04	"GCDH, ACADSB, IVD, ACAD8, ACAD11"	11.95	3.35E-02	Winter_low
GOTERM_BP_DIRECT	GO:0042593~glucose homeostasis	11	5.21E-04	"RBP4, G6PC, ERO1B, PDK4, SLC37A4, ADRA1B, PRKAA2, PFKM, SIDT2, NR1H4, SESN3"	3.89	3.46E-02	Winter_low
GOTERM_BP_DIRECT	GO:0003333~amino acid transmembrane transport	6	5.57E-04	"SLC1A5, SLC38A4, SLC38A9, SLC16A10, SLC6A12, PEX3"	8.57	3.58E-02	Winter_low
GOTERM_MF_DIRECT	GO:0003995~acyl-CoA dehydrogenase activity	5	8.27E-04	"GCDH, ACADSB, IVD, ACAD8, ACAD11"	11.20	4.09E-02	Winter_low
GOTERM_MF_DIRECT	GO:0015485~cholesterol binding	7	8.87E-04	"NPC1, STARD4, NPC2, APOE, APOC3, SCP2, SCAP"	6.12	4.14E-02	Winter_low
GOTERM_BP_DIRECT	GO:0046487~glyoxylate metabolic process	6	6.73E-04	"HAO1, DBT, GNMT, DHTKD1, AGXT, GLDC"	8.24	4.20E-02	Winter_low
GOTERM_BP_DIRECT	GO:0008652~cellular amino acid biosynthetic process	6	6.73E-04	"GLS2, ASPG, KYAT1, GPT, PAH, OAT"	8.24	4.20E-02	Winter_low
GOTERM_BP_DIRECT	GO:0019432~triglyceride biosynthetic process	6	6.73E-04	"MOGAT3, MOGAT2, DGAT2, AGMO, PNPLA3, GPAM"	8.24	4.20E-02	Winter_low
GOTERM_BP_DIRECT	GO:0001561~fatty acid alpha-oxidation	4	6.97E-04	"HAO1, HACL1, PEX13, PHYH"	20.42	4.22E-02	Winter_low
GOTERM_MF_DIRECT	GO:0004029~aldehyde dehydrogenase (NAD) activity	5	1.06E-03	"ALDH8A1, ALDH7A1, ALDH1L1, ALDH1B1, ALDH4A1"	10.54	4.67E-02	Winter_low
GOTERM_BP_DIRECT	GO:0008206~bile acid metabolic process	5	8.37E-04	"SLCO1B3, NPC1, BAAT, AMACR, NR1H4"	11.16	4.92E-02	Winter_low
GOTERM_BP_DIRECT	GO:0001889~liver development	9	1.05E-03	"BAAT, KRAS, ASS1, OTC, ARID5B, HMGCS1, PCSK9, SRD5A1, AACS"	4.35	5.95E-02	Winter_low
GOTERM_BP_DIRECT	GO:0042135~neurotransmitter catabolic process	4	1.09E-03	"MAOA, MAOB, ABAT, COMT"	17.86	6.05E-02	Winter_low
GOTERM_MF_DIRECT	"GO:0016620~oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"	5	1.65E-03	"ALDH8A1, ALDH7A1, ALDH1L1, ALDH4A1, GAPDH"	9.43	6.84E-02	Winter_low
GOTERM_MF_DIRECT	GO:0016829~lyase activity	6	1.77E-03	"HACL1, KYAT1, ACLY, THNSL2, GLDC, FH"	6.72	6.99E-02	Winter_low
GOTERM_BP_DIRECT	GO:0019373~epoxygenase P450 pathway	5	1.35E-03	"CYP1A1, CYP2C9, CYP2C18, CYP2A7, CYP1A2"	9.92	7.23E-02	Winter_low
GOTERM_BP_DIRECT	GO:0033539~fatty acid beta-oxidation using acyl-CoA dehydrogenase	5	1.35E-03	"GCDH, ACADSB, IVD, ACAD8, ACAD11"	9.92	7.23E-02	Winter_low
GOTERM_CC_DIRECT	GO:0005778~peroxisomal membrane	7	3.14E-03	"MAVS, HMGCR, PEX13, CAT, PEX3, ACSL4, MGST1"	4.82	7.45E-02	Winter_low
GOTERM_BP_DIRECT	GO:0001523~retinoid metabolic process	8	1.50E-03	"RDH11, TTR, RBP4, SDC1, APOE, APOC3, CYP4V2, RDH5"	4.69	7.85E-02	Winter_low
GOTERM_BP_DIRECT	GO:0006544~glycine metabolic process	4	1.60E-03	"SHMT1, SLC25A32, BAAT, DMGDH"	15.88	8.16E-02	Winter_low
GOTERM_CC_DIRECT	GO:0031966~mitochondrial membrane	9	3.76E-03	"MAVS, SLC25A32, SORD, BOK, IVD, SLC25A10, TMBIM6, ACAD11, GRAMD4"	3.56	8.26E-02	Winter_low
GOTERM_BP_DIRECT	GO:0009083~branched-chain amino acid catabolic process	5	1.67E-03	"DBT, ACADSB, IVD, ACAD8, HIBADH"	9.40	8.29E-02	Winter_low
GOTERM_MF_DIRECT	GO:0003989~acetyl-CoA carboxylase activity	3	2.28E-03	"ACACA, ACACB, PCCB"	35.84	8.51E-02	Winter_low
GOTERM_BP_DIRECT	GO:0006694~steroid biosynthetic process	6	1.80E-03	"HSD17B11, HSD3B7, SRD5A1, LSS, SRD5A2, SCP2"	6.70	8.70E-02	Winter_low
GOTERM_MF_DIRECT	GO:0016787~hydrolase activity	14	2.74E-03	"NDST1, NUDT4, ABHD5, ACMSD, PNPLA3, RBBP9, PNPLA5, NUDT7, ASRGL1, ENTPD4, LYPLAL1, IDI1, NT5E, FAHD2A"	2.63	9.72E-02	Winter_low
GOTERM_BP_DIRECT	GO:0019805~quinolinate biosynthetic process	3	2.29E-03	"KYNU, HAAO, KMO"	35.73	1.07E-01	Winter_low
GOTERM_BP_DIRECT	GO:0071400~cellular response to oleic acid	3	2.29E-03	"ASS1, DGAT2, CPS1"	35.73	1.07E-01	Winter_low
GOTERM_BP_DIRECT	GO:0050746~regulation of lipoprotein metabolic process	3	2.29E-03	"ANGPTL8, DGAT2, LIPG"	35.73	1.07E-01	Winter_low
GOTERM_BP_DIRECT	GO:0043420~anthranilate metabolic process	3	2.29E-03	"KYNU, HAAO, KMO"	35.73	1.07E-01	Winter_low
GOTERM_BP_DIRECT	GO:0016125~sterol metabolic process	5	2.46E-03	"CYP7B1, EBP, FDX1, CYP4V2, CYP8B1"	8.51	1.13E-01	Winter_low
GOTERM_BP_DIRECT	GO:0045471~response to ethanol	10	2.69E-03	"RBP4, G6PD, FECH, HMGCR, MAOB, ABAT, CAT, AACS, CDO1, PTEN"	3.40	1.20E-01	Winter_low
GOTERM_MF_DIRECT	GO:0051287~NAD binding	6	3.85E-03	"IDH3G, SORD, IDH1, GAPDH, HIBADH, MDH1"	5.66	1.29E-01	Winter_low
GOTERM_BP_DIRECT	GO:0006098~pentose-phosphate shunt	4	3.02E-03	"RPE, G6PD, DERA, TKT"	12.99	1.31E-01	Winter_low
GOTERM_CC_DIRECT	GO:0005765~lysosomal membrane	16	7.35E-03	"TSPAN1, SLC38A9, SPHK2, VTI1B, TRIM23, SIDT2, TMEM55B, DEPDC5, SLC2A8, ATP6V1A, LAMP2, NPC1, ZFYVE26, AP3M1, ATP6V1E1, VAMP7"	2.17	1.46E-01	Winter_low
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	22	8.43E-03	"CHDH, FECH, OTC, MAOB, PDK4, PINK1, KMO, CPS1, SFXN5, SIRT3, SLC25A21, SLC25A32, BOK, SLC25A10, ABCB10, ACAD11, GPAM, SLC25A15, MGST1, ACSL5, SRGAP2, PRODH"	1.86	1.56E-01	Winter_low
GOTERM_MF_DIRECT	"GO:0016705~oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen"	7	4.93E-03	"CYP3A43, CYP7B1, CYP2C9, CYP2C18, CYP2A7, CYP4V2, CYP8B1"	4.40	1.56E-01	Winter_low
GOTERM_BP_DIRECT	GO:0000050~urea cycle	4	3.95E-03	"ASS1, OTC, CPS1, SLC25A15"	11.91	1.65E-01	Winter_low
GOTERM_BP_DIRECT	GO:0032259~methylation	8	4.22E-03	"HNMT, MAT1A, COMT, GNMT, CYP1A2, TPMT, METTL7A, COQ5"	3.92	1.72E-01	Winter_low
GOTERM_BP_DIRECT	GO:0006810~transport	20	4.38E-03	"AQP9, SLC6A12, SLC37A4, TTPA, ENSA, DBI, SLC10A1, TTR, ATP6V1A, TTPAL, SLC25A32, SLC7A2, CNIH4, VAMP7, SLC25A10, ABCB10, SEC22C, FABP7, SLC25A15, ABCC6"	2.05	1.75E-01	Winter_low
GOTERM_BP_DIRECT	GO:0006084~acetyl-CoA metabolic process	3	4.50E-03	"ACACA, FASN, ACACB"	26.80	1.76E-01	Winter_low
GOTERM_BP_DIRECT	GO:0034354~'de novo' NAD biosynthetic process from tryptophan	3	4.50E-03	"KYNU, HAAO, KMO"	26.80	1.76E-01	Winter_low
GOTERM_BP_DIRECT	"GO:0070221~sulfide oxidation, using sulfide:quinone oxidoreductase"	3	4.50E-03	"SUOX, SLC25A10, ETHE1"	26.80	1.76E-01	Winter_low
GOTERM_BP_DIRECT	GO:0051262~protein tetramerization	6	4.89E-03	"SHMT1, HMGCR, AASS, TGM3, CAT, FH"	5.36	1.86E-01	Winter_low
GOTERM_MF_DIRECT	GO:0070330~aromatase activity	5	6.26E-03	"CYP3A43, CYP1A1, CYP2C18, CYP2A7, CYP1A2"	6.64	1.87E-01	Winter_low
GOTERM_BP_DIRECT	GO:0070328~triglyceride homeostasis	5	5.51E-03	"ANGPTL8, APOE, APOC3, ANGPTL3, LIPC"	6.87	2.04E-01	Winter_low
GOTERM_BP_DIRECT	GO:0061621~canonical glycolysis	5	5.51E-03	"PFKFB1, ALDOB, PKLR, PFKM, GAPDH"	6.87	2.04E-01	Winter_low
GOTERM_MF_DIRECT	GO:0004075~biotin carboxylase activity	3	7.32E-03	"ACACA, ACACB, PCCA"	21.50	2.08E-01	Winter_low
GOTERM_MF_DIRECT	GO:0016831~carboxy-lyase activity	4	7.60E-03	"DDC, SGPL1, ECHDC1, URAD"	9.56	2.09E-01	Winter_low
GOTERM_MF_DIRECT	GO:0016594~glycine binding	4	7.60E-03	"CEP104, SRR, GNMT, GLDC"	9.56	2.09E-01	Winter_low
GOTERM_BP_DIRECT	GO:0006768~biotin metabolic process	4	6.26E-03	"ACACA, ACACB, PCCB, PCCA"	10.21	2.25E-01	Winter_low
GOTERM_BP_DIRECT	GO:0008610~lipid biosynthetic process	4	6.26E-03	"ACLY, PRKAA2, ACSL4, ACSS2"	10.21	2.25E-01	Winter_low
GOTERM_BP_DIRECT	GO:0007568~aging	12	6.71E-03	"CYP1A1, ASS1, HMGCR, SRR, ADRA1A, ABAT, FBXO4, CAT, FOXO3, PTEN, SCAP, SIRT3"	2.60	2.35E-01	Winter_low
GOTERM_MF_DIRECT	GO:0048037~cofactor binding	4	9.17E-03	"HACL1, ACLY, TKT, PHYH"	8.96	2.38E-01	Winter_low
GOTERM_MF_DIRECT	GO:0019825~oxygen binding	6	9.60E-03	"CYP1A1, CYP2C9, CYP2C18, CYP2A7, CYP1A2, CYP8B1"	4.58	2.41E-01	Winter_low
GOTERM_BP_DIRECT	GO:0007031~peroxisome organization	6	8.17E-06	"PEX11A, LONP2, PEX1, PEX19, PEX14, ABCD3"	20.28	1.15E-02	Cold_high_EH
