pathway,GO
REGULATION_OF_ACYL_COA_BIOSYNTHETIC_PROCESS,GO:0050812
REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY,GO:0030947
REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_INITIATION,GO:2000142
REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GO:0033628
NUCLEOSIDE_TRIPHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0009142
GLYOXYLATE_METABOLIC_PROCESS,GO:0046487
RELAXATION_OF_MUSCLE,GO:0090075
REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL,GO:1903320
CELLULAR_ANION_HOMEOSTASIS,GO:0030002
TOXIN_METABOLIC_PROCESS,GO:0009404
COVALENT_CHROMATIN_MODIFICATION,GO:0016569
PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,GO:0072522
NEGATIVE_REGULATION_OF_CELL_CYCLE_ARREST,GO:0071157
DNA_DEMETHYLATION,GO:0080111
SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,GO:0060538
FC_RECEPTOR_SIGNALING_PATHWAY,GO:0038093
APPENDAGE_DEVELOPMENT,GO:0048736
REGULATION_OF_B_CELL_MEDIATED_IMMUNITY,GO:0002712
REGULATION_OF_MITOCHONDRIAL_FISSION,GO:0090140
NEUTRAL_LIPID_CATABOLIC_PROCESS,GO:0046461
POSITIVE_REGULATION_OF_CATECHOLAMINE_SECRETION,GO:0033605
NEGATIVE_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION,GO:0010801
PROTEIN_AUTOUBIQUITINATION,GO:0051865
PORE_COMPLEX_ASSEMBLY,GO:0046931
PROTEIN_LIPID_COMPLEX_SUBUNIT_ORGANIZATION,GO:0071825
NEGATIVE_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS,GO:0070233
NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,GO:0010563
4_HYDROXYPROLINE_METABOLIC_PROCESS,GO:0019471
REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:1902806
ANION_HOMEOSTASIS,GO:0055081
LIPOPROTEIN_BIOSYNTHETIC_PROCESS,GO:0042158
RESPONSE_TO_FOLLICLE_STIMULATING_HORMONE,GO:0032354
CELLULAR_POTASSIUM_ION_HOMEOSTASIS,GO:0030007
PROTEIN_MANNOSYLATION,GO:0035268
REGULATION_OF_FATTY_ACID_TRANSPORT,GO:2000191
HORMONE_BIOSYNTHETIC_PROCESS,GO:0042446
ELECTRON_TRANSPORT_CHAIN,GO:0022900
EXTRACELLULAR_REGULATION_OF_SIGNAL_TRANSDUCTION,GO:1900115
NUCLEOTIDE_EXCISION_REPAIR_DNA_GAP_FILLING,GO:0006297
GLYCOSPHINGOLIPID_BIOSYNTHETIC_PROCESS,GO:0006688
RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,GO:0014070
CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING,GO:0010644
ONE_CARBON_METABOLIC_PROCESS,GO:0006730
TRANSEPITHELIAL_TRANSPORT,GO:0070633
VACUOLAR_ACIDIFICATION,GO:0007035
CELL_DIFFERENTIATION_IN_HINDBRAIN,GO:0021533
POSITIVE_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION,GO:0002579
NEGATIVE_REGULATION_OF_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION,GO:0010771
REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY,GO:0035358
POSITIVE_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,GO:2000516
GLYCOPROTEIN_CATABOLIC_PROCESS,GO:0006516
REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS,GO:1901623
RENAL_WATER_HOMEOSTASIS,GO:0003091
REGULATION_OF_DNA_METHYLATION,GO:0044030
HEART_VALVE_FORMATION,GO:0003188
MITOTIC_NUCLEAR_DIVISION,GO:0140014
NEGATIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION,GO:0002762
FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS,GO:0006775
ACTOMYOSIN_STRUCTURE_ORGANIZATION,GO:0031032
NUCLEOTIDE_TRANSMEMBRANE_TRANSPORT,GO:1901679
POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS,GO:0090068
REGULATION_OF_CHONDROCYTE_DIFFERENTIATION,GO:0032330
REGULATION_OF_PSEUDOPODIUM_ASSEMBLY,GO:0031272
PALLIUM_DEVELOPMENT,GO:0021543
REGULATION_OF_RESPONSE_TO_STRESS,GO:0080134
CARDIAC_CELL_FATE_COMMITMENT,GO:0060911
POSITIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION,GO:0032732
MYOFIBRIL_ASSEMBLY,GO:0030239
NEGATIVE_REGULATION_OF_CHEMOTAXIS,GO:0050922
BLOOD_COAGULATION_INTRINSIC_PATHWAY,GO:0007597
GLOMERULUS_DEVELOPMENT,GO:0032835
TELOMERE_MAINTENANCE_VIA_RECOMBINATION,GO:0000722
REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,GO:0090199
CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION,GO:0086019
CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS,GO:0097067
POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY,GO:0051092
MITOCHONDRIAL_RNA_PROCESSING,GO:0000963
CELLULAR_LIPID_CATABOLIC_PROCESS,GO:0044242
REGULATION_OF_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,GO:0098901
POSITIVE_REGULATION_OF_HAIR_CYCLE,GO:0042635
SYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT,GO:0048485
REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION,GO:0046637
MULTICELLULAR_ORGANISM_GROWTH,GO:0035264
GRANULOCYTE_MIGRATION,GO:0097530
POSITIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,GO:0050857
NCRNA_METABOLIC_PROCESS,GO:0034660
PHOSPHATE_ION_TRANSPORT,GO:0006817
NEGATIVE_REGULATION_OF_BMP_SIGNALING_PATHWAY,GO:0030514
POSITIVE_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION,GO:2000179
REGULATION_OF_CELLULAR_EXTRAVASATION,GO:0002691
CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,GO:0055008
PURINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS,GO:0009113
MITOTIC_G2_DNA_DAMAGE_CHECKPOINT,GO:0007095
POSITIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION,GO:0031954
NEGATIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT,GO:0046823
POSITIVE_REGULATION_OF_CELL_ACTIVATION,GO:0050867
CARBOHYDRATE_BIOSYNTHETIC_PROCESS,GO:0016051
AMINO_SUGAR_METABOLIC_PROCESS,GO:0006040
REGULATION_OF_CYTOKINESIS,GO:0032465
VITAMIN_BIOSYNTHETIC_PROCESS,GO:0009110
POSITIVE_REGULATION_OF_NON_CANONICAL_WNT_SIGNALING_PATHWAY,GO:2000052
MUSCLE_ORGAN_MORPHOGENESIS,GO:0048644
AMINO_ACID_TRANSPORT,GO:0006865
CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS,GO:0071872
POSITIVE_REGULATION_OF_CELL_ADHESION_MEDIATED_BY_INTEGRIN,GO:0033630
REGULATION_OF_MICROTUBULE_BASED_MOVEMENT,GO:0060632
EXOCRINE_SYSTEM_DEVELOPMENT,GO:0035272
AMINOGLYCAN_METABOLIC_PROCESS,GO:0006022
NEGATIVE_REGULATION_OF_MYOBLAST_DIFFERENTIATION,GO:0045662
REGULATION_OF_FEVER_GENERATION,GO:0031620
MACROPHAGE_ACTIVATION,GO:0042116
CARDIOBLAST_DIFFERENTIATION,GO:0010002
CELL_CYCLE_G1_S_PHASE_TRANSITION,GO:0044843
RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,GO:0000375
BLOOD_VESSEL_MORPHOGENESIS,GO:0048514
REGULATION_OF_URINE_VOLUME,GO:0035809
PHOTORECEPTOR_CELL_DEVELOPMENT,GO:0042461
SYNAPTIC_TRANSMISSION_DOPAMINERGIC,GO:0001963
PROTEIN_PHOSPHORYLATION,GO:0006468
CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION,GO:0021953
REGULATION_OF_CELL_DIFFERENTIATION,GO:0045595
MAINTENANCE_OF_GASTROINTESTINAL_EPITHELIUM,GO:0030277
ENDOTHELIUM_DEVELOPMENT,GO:0003158
DOUBLE_STRAND_BREAK_REPAIR,GO:0006302
NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT,GO:0015931
REGULATION_OF_NEURON_MIGRATION,GO:2001222
METHIONINE_BIOSYNTHETIC_PROCESS,GO:0009086
MESONEPHRIC_TUBULE_MORPHOGENESIS,GO:0072171
RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,GO:0001836
RESPONSE_TO_INTERLEUKIN_1,GO:0070555
EMBRYONIC_HINDLIMB_MORPHOGENESIS,GO:0035116
WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS,GO:0006767
SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND,GO:0038034
RNA_CAPPING,GO:0036260
LIVER_REGENERATION,GO:0097421
REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GO:2000377
NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE,GO:0031348
SPINAL_CORD_PATTERNING,GO:0021511
DNA_REPLICATION_INITIATION,GO:0006270
ERYTHROCYTE_MATURATION,GO:0043249
POSITIVE_REGULATION_OF_DENDRITE_DEVELOPMENT,GO:1900006
MEMBRANE_DEPOLARIZATION_DURING_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,GO:0086012
BASIC_AMINO_ACID_TRANSPORT,GO:0015802
REGULATION_OF_CAMP_MEDIATED_SIGNALING,GO:0043949
CELL_MIGRATION_INVOLVED_IN_GASTRULATION,GO:0042074
ASTROCYTE_DIFFERENTIATION,GO:0048708
PROTEIN_MONOUBIQUITINATION,GO:0006513
POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION,GO:0046641
FACE_DEVELOPMENT,GO:0060324
RNA_DESTABILIZATION,GO:0050779
RESPONSE_TO_ESTROGEN,GO:0043627
DETOXIFICATION,GO:0098754
CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY,GO:0001539
VERY_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS,GO:0000038
ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MEMBRANE,GO:0090150
SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION,GO:0007264
REGULATION_OF_PEPTIDASE_ACTIVITY,GO:0052547
POSITIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,GO:0071902
BROWN_FAT_CELL_DIFFERENTIATION,GO:0050873
INOSITOL_METABOLIC_PROCESS,GO:0006020
REGULATION_OF_CENTROSOME_CYCLE,GO:0046605
POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,GO:0051347
REGULATION_OF_IMMUNE_SYSTEM_PROCESS,GO:0002682
PROTEIN_ADP_RIBOSYLATION,GO:0006471
CELLULAR_SODIUM_ION_HOMEOSTASIS,GO:0006883
NEGATIVE_REGULATION_OF_CARTILAGE_DEVELOPMENT,GO:0061037
CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS,GO:0030206
PROTEIN_SUMOYLATION,GO:0016925
MEGAKARYOCYTE_DEVELOPMENT,GO:0035855
REGULATION_OF_HISTONE_H3_K9_METHYLATION,GO:0051570
VASODILATION,GO:0042311
NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE,GO:0045930
NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION,GO:0044092
NEURONAL_ION_CHANNEL_CLUSTERING,GO:0045161
POSITIVE_REGULATION_OF_AXON_EXTENSION,GO:0045773
PIGMENT_CELL_DIFFERENTIATION,GO:0050931
ORGAN_GROWTH,GO:0035265
REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,GO:0045619
REGULATION_OF_BONE_REMODELING,GO:0046850
GLUCOCORTICOID_BIOSYNTHETIC_PROCESS,GO:0006704
NERVE_DEVELOPMENT,GO:0021675
REGULATION_OF_NEUROBLAST_PROLIFERATION,GO:1902692
DETECTION_OF_MOLECULE_OF_BACTERIAL_ORIGIN,GO:0032490
PHAGOSOME_ACIDIFICATION,GO:0090383
REGULATION_OF_CELL_SIZE,GO:0008361
TETRAPYRROLE_METABOLIC_PROCESS,GO:0033013
REGULATION_OF_CENTROSOME_DUPLICATION,GO:0010824
VENTRAL_SPINAL_CORD_INTERNEURON_DIFFERENTIATION,GO:0021514
NEGATIVE_REGULATION_OF_TRANSFERASE_ACTIVITY,GO:0051348
POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,GO:0055025
RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION,GO:0071826
REGULATION_OF_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL,GO:0010522
KERATAN_SULFATE_CATABOLIC_PROCESS,GO:0042340
BLASTOCYST_DEVELOPMENT,GO:0001824
REGULATION_OF_GRANULOCYTE_CHEMOTAXIS,GO:0071622
CHROMATIN_ORGANIZATION,GO:0006325
POSITIVE_REGULATION_OF_CYTOKINESIS,GO:0032467
EPHRIN_RECEPTOR_SIGNALING_PATHWAY,GO:0048013
ORGANIC_ANION_TRANSPORT,GO:0015711
RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,GO:1901700
BICARBONATE_TRANSPORT,GO:0015701
POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,GO:2000463
NEGATIVE_REGULATION_OF_PATHWAY_RESTRICTED_SMAD_PROTEIN_PHOSPHORYLATION,GO:0060394
SEGMENTATION,GO:0035282
POSITIVE_REGULATION_OF_PEPTIDASE_ACTIVITY,GO:0010952
POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION,GO:0002726
PYRIMIDINE_CONTAINING_COMPOUND_SALVAGE,GO:0008655
REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION,GO:0048713
TRNA_METHYLATION,GO:0030488
INTERACTION_WITH_HOST,GO:0051701
GASTRULATION,GO:0007369
RESPONSE_TO_UV,GO:0009411
REGULATION_OF_NEUROTRANSMITTER_TRANSPORT,GO:0051588
NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,GO:1901343
VIRAL_GENOME_REPLICATION,GO:0019079
NUCLEOTIDE_EXCISION_REPAIR,GO:0006289
POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,GO:2000379
NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA,GO:0090201
GOLGI_TO_ENDOSOME_TRANSPORT,GO:0006895
REGULATION_OF_MUSCLE_HYPERTROPHY,GO:0014743
CARBOHYDRATE_TRANSMEMBRANE_TRANSPORT,GO:0034219
SULFUR_COMPOUND_TRANSPORT,GO:0072348
FATTY_ACID_BIOSYNTHETIC_PROCESS,GO:0006633
HEART_FORMATION,GO:0060914
RECEPTOR_INTERNALIZATION,GO:0031623
POSITIVE_REGULATION_OF_MAST_CELL_ACTIVATION,GO:0033005
REGULATION_OF_ODONTOGENESIS,GO:0042481
PARTURITION,GO:0007567
NEGATIVE_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0060766
ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS,GO:0036109
REGULATION_OF_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION,GO:0034315
HOMEOSTASIS_OF_NUMBER_OF_CELLS,GO:0048872
MEIOTIC_CHROMOSOME_SEPARATION,GO:0051307
DIOL_METABOLIC_PROCESS,GO:0034311
REGULATION_OF_RYANODINE_SENSITIVE_CALCIUM_RELEASE_CHANNEL_ACTIVITY,GO:0060314
OXYGEN_TRANSPORT,GO:0015671
REGULATION_OF_LIPID_TRANSPORT,GO:0032368
POSITIVE_REGULATION_OF_TRIGLYCERIDE_BIOSYNTHETIC_PROCESS,GO:0010867
REGULATION_OF_REPRODUCTIVE_PROCESS,GO:2000241
REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS,GO:0051043
POSITIVE_REGULATION_OF_HORMONE_SECRETION,GO:0046887
ORGAN_INDUCTION,GO:0001759
DNA_STRAND_ELONGATION,GO:0022616
REGULATION_OF_CELL_DIVISION,GO:0051302
MULTIVESICULAR_BODY_SORTING_PATHWAY,GO:0071985
REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY,GO:0002706
SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS,GO:0002200
NOTCH_SIGNALING_PATHWAY,GO:0007219
OUTER_DYNEIN_ARM_ASSEMBLY,GO:0036158
POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,GO:1900078
RESPONSE_TO_RADIATION,GO:0009314
BILE_ACID_AND_BILE_SALT_TRANSPORT,GO:0015721
HEART_DEVELOPMENT,GO:0007507
TISSUE_REGENERATION,GO:0042246
MESODERM_MORPHOGENESIS,GO:0048332
NEGATIVE_REGULATION_OF_SMOOTHENED_SIGNALING_PATHWAY,GO:0045879
RECEPTOR_METABOLIC_PROCESS,GO:0043112
NUCLEOSIDE_SALVAGE,GO:0043174
INFLAMMATORY_RESPONSE,GO:0006954
REGULATION_OF_NIK_NF_KAPPAB_SIGNALING,GO:1901222
NEGATIVE_REGULATION_OF_ANOIKIS,GO:2000811
POSITIVE_REGULATION_OF_LIGASE_ACTIVITY,GO:0051351
REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_HYPOXIA,GO:0061418
REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,GO:0033157
PIGMENT_GRANULE_ORGANIZATION,GO:0048753
REGULATION_OF_CELL_CYCLE,GO:0051726
TUBE_DEVELOPMENT,GO:0035295
LOCOMOTION,GO:0040011
ACROSOME_ASSEMBLY,GO:0001675
REGULATION_OF_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS,GO:0010919
REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR,GO:1902165
POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT,GO:0045684
RESPONSE_TO_EXTRACELLULAR_STIMULUS,GO:0009991
REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,GO:0043254
CALCIUM_ION_REGULATED_EXOCYTOSIS_OF_NEUROTRANSMITTER,GO:0048791
REGULATION_OF_REGULATED_SECRETORY_PATHWAY,GO:1903305
POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION,GO:0002092
CARDIAC_MUSCLE_CELL_CONTRACTION,GO:0086003
AMINO_SUGAR_CATABOLIC_PROCESS,GO:0046348
POSITIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS,GO:0010759
REGULATION_OF_B_CELL_APOPTOTIC_PROCESS,GO:0002902
MITOCHONDRIAL_RNA_METABOLIC_PROCESS,GO:0000959
MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL,GO:0098815
NUCLEUS_LOCALIZATION,GO:0051647
RESPONSE_TO_HEPATOCYTE_GROWTH_FACTOR,GO:0035728
ORGANELLE_ASSEMBLY,GO:0070925
MITOTIC_DNA_INTEGRITY_CHECKPOINT,GO:0044774
FATTY_ACID_DERIVATIVE_TRANSPORT,GO:1901571
NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GO:0002323
CARDIAC_VENTRICLE_DEVELOPMENT,GO:0003231
MALE_MEIOSIS_I,GO:0007141
GLYCEROLIPID_BIOSYNTHETIC_PROCESS,GO:0045017
REGULATION_OF_GLUCOSE_METABOLIC_PROCESS,GO:0010906
POSITIVE_REGULATION_OF_SODIUM_ION_TRANSMEMBRANE_TRANSPORT,GO:1902307
POSITIVE_REGULATION_OF_HEART_CONTRACTION,GO:0045823
CELLULAR_RESPONSE_TO_PROSTAGLANDIN_E_STIMULUS,GO:0071380
EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,GO:0008625
PURINE_NUCLEOSIDE_BIOSYNTHETIC_PROCESS,GO:0042451
FEMALE_SEX_DIFFERENTIATION,GO:0046660
POSITIVE_REGULATION_OF_CIRCADIAN_RHYTHM,GO:0042753
ECTODERMAL_PLACODE_DEVELOPMENT,GO:0071696
POSITIVE_REGULATION_OF_PHAGOCYTOSIS,GO:0050766
CELLULAR_RESPONSE_TO_ETHANOL,GO:0071361
RESPIRATORY_BURST,GO:0045730
POSITIVE_REGULATION_OF_DNA_REPAIR,GO:0045739
CEREBRAL_CORTEX_GABAERGIC_INTERNEURON_DIFFERENTIATION,GO:0021892
NIK_NF_KAPPAB_SIGNALING,GO:0038061
MAMMARY_GLAND_DEVELOPMENT,GO:0030879
NEGATIVE_REGULATION_OF_SECRETION,GO:0051048
MITOTIC_SPINDLE_ORGANIZATION,GO:0007052
REGULATION_OF_PROTEIN_CATABOLIC_PROCESS,GO:0042176
REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,GO:2000514
MAINTENANCE_OF_CELL_POLARITY,GO:0030011
MRNA_CLEAVAGE,GO:0006379
POSITIVE_REGULATION_OF_URINE_VOLUME,GO:0035810
GLYCINE_METABOLIC_PROCESS,GO:0006544
POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION,GO:0032722
REGULATION_OF_GLYCOGEN_METABOLIC_PROCESS,GO:0070873
ENDODERM_DEVELOPMENT,GO:0007492
CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR,GO:0042994
PROTEIN_TRANSPORT_ALONG_MICROTUBULE,GO:0098840
REGULATION_OF_LIPOPOLYSACCHARIDE_MEDIATED_SIGNALING_PATHWAY,GO:0031664
CAMERA_TYPE_EYE_PHOTORECEPTOR_CELL_DIFFERENTIATION,GO:0060219
REGULATION_OF_GROWTH_HORMONE_SECRETION,GO:0060123
PYRIMIDINE_CONTAINING_COMPOUND_METABOLIC_PROCESS,GO:0072527
OXIDATION_REDUCTION_PROCESS,GO:0055114
RESPONSE_TO_ATP,GO:0033198
WATER_HOMEOSTASIS,GO:0030104
VOCALIZATION_BEHAVIOR,GO:0071625
GOLGI_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT,GO:0043001
LONG_TERM_MEMORY,GO:0007616
ADRENAL_GLAND_DEVELOPMENT,GO:0030325
CELLULAR_RESPONSE_TO_CHOLESTEROL,GO:0071397
POSITIVE_REGULATION_OF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY,GO:1901018
VIRAL_LIFE_CYCLE,GO:0019058
ENTRAINMENT_OF_CIRCADIAN_CLOCK,GO:0009649
POSITIVE_REGULATION_OF_IMMUNOGLOBULIN_PRODUCTION,GO:0002639
REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,GO:1903747
REGULATION_OF_SENSORY_PERCEPTION,GO:0051931
CHONDROITIN_SULFATE_CATABOLIC_PROCESS,GO:0030207
RESPONSE_TO_AUDITORY_STIMULUS,GO:0010996
MAINTENANCE_OF_CELL_NUMBER,GO:0098727
CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION,GO:0000904
NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,GO:2001251
COENZYME_BIOSYNTHETIC_PROCESS,GO:0009108
EPIBOLY,GO:0090504
NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,GO:0050728
REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS,GO:0017158
CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS,GO:0021952
INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,GO:0002437
INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION,GO:0060575
ORGANOPHOSPHATE_CATABOLIC_PROCESS,GO:0046434
NEGATIVE_REGULATION_OF_BEHAVIOR,GO:0048521
POSITIVE_REGULATION_OF_P38MAPK_CASCADE,GO:1900745
MEMBRANE_PROTEIN_INTRACELLULAR_DOMAIN_PROTEOLYSIS,GO:0031293
RESPONSE_TO_CAFFEINE,GO:0031000
DISTAL_TUBULE_DEVELOPMENT,GO:0072017
CRANIAL_SKELETAL_SYSTEM_DEVELOPMENT,GO:1904888
DNA_TEMPLATED_TRANSCRIPTION_INITIATION,GO:0006352
REGULATION_OF_HORMONE_BIOSYNTHETIC_PROCESS,GO:0046885
POSITIVE_REGULATION_OF_NEUROTRANSMITTER_SECRETION,GO:0001956
GENETIC_IMPRINTING,GO:0071514
CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM,GO:0022412
POSITIVE_REGULATION_OF_CELL_DEATH,GO:0010942
TROPHOBLAST_GIANT_CELL_DIFFERENTIATION,GO:0060707
TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,GO:0033209
DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM,GO:0050829
SIGNAL_RELEASE,GO:0023061
REGULATION_OF_EXOSOMAL_SECRETION,GO:1903541
REGULATION_OF_INCLUSION_BODY_ASSEMBLY,GO:0090083
REGULATION_OF_CHRONIC_INFLAMMATORY_RESPONSE,GO:0002676
REGULATION_OF_T_CELL_DIFFERENTIATION,GO:0045580
ADAPTIVE_IMMUNE_RESPONSE,GO:0002250
TRANSLESION_SYNTHESIS,GO:0019985
REGULATION_OF_GLOMERULUS_DEVELOPMENT,GO:0090192
METHIONINE_METABOLIC_PROCESS,GO:0006555
DICARBOXYLIC_ACID_TRANSPORT,GO:0006835
NEGATIVE_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT,GO:0048642
DNA_RECOMBINATION,GO:0006310
POST_TRANSLATIONAL_PROTEIN_MODIFICATION,GO:0043687
PROTEIN_FOLDING,GO:0006457
REGULATION_OF_MRNA_POLYADENYLATION,GO:1900363
NEURON_MIGRATION,GO:0001764
REGULATION_OF_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE,GO:0051988
POSITIVE_REGULATION_OF_RESPONSE_TO_TUMOR_CELL,GO:0002836
REGULATION_OF_ACTION_POTENTIAL,GO:0098900
POSITIVE_REGULATION_OF_TISSUE_REMODELING,GO:0034105
REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,GO:0061136
DORSAL_VENTRAL_NEURAL_TUBE_PATTERNING,GO:0021904
TOLL_LIKE_RECEPTOR_4_SIGNALING_PATHWAY,GO:0034142
POSITIVE_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,GO:0045639
CALCIUM_ION_REGULATED_EXOCYTOSIS,GO:0017156
